timestamp,x,y,theta
1684870110.96422,744.6165611636768,-302.2205417722611,-0.8703341421291843
1684870110.989733,744.6735535578156,-302.2880867663068,-0.8699306295692935
1684870111.014382,744.7286412661078,-302.3533227897999,-0.8695407824909701
1684870111.039087,744.7838005358702,-302.41859180391106,-0.8691500454971804
1684870111.064945,744.8416449880584,-302.48698139606614,-0.8687410765488162
1684870111.089774,744.8972128896502,-302.55262796542866,-0.8683547386963382
1684870111.114031,744.9515097703237,-302.61672390721975,-0.8679772969276919
1684870111.139666,745.008934334646,-302.68445719271625,-0.8675784162647738
1684870111.164027,745.0635134219785,-302.7487847384382,-0.8671993607361331
1684870111.189332,745.1202340974622,-302.8155830518904,-0.8668056144268528
1684870111.214812,745.1773734727428,-302.8828208526538,-0.8664124065735355
1684870111.239287,745.2323782600944,-302.94749728932214,-0.8660346860709205
1684870111.26419,745.2883706711832,-303.0132837575969,-0.8656503571612849
1684870111.289171,745.3445638131927,-303.0792545212216,-0.8652648250505939
1684870111.314617,745.4018282629752,-303.14643131476384,-0.8648851462080493
1684870111.339764,745.4585269332249,-303.2128938607975,-0.8645098996951595
1684870111.364678,745.5148200291407,-303.27883303107717,-0.8641508920123592
1684870111.389869,745.571844368649,-303.3455822805407,-0.8638072354538455
1684870111.414896,745.628698711625,-303.41208697772504,-0.8634689700262561
1684870111.439864,745.6855209994263,-303.4785113617988,-0.8631506791241184
1684870111.464196,745.741010995831,-303.54333800489223,-0.862843584365131
1684870111.490024,745.8000342571055,-303.6122506236881,-0.8625440814497486
1684870111.51514,745.8575306617245,-303.6793423111684,-0.862262481230022
1684870111.540149,745.9148812730599,-303.74622764275483,-0.8619948858196751
1684870111.565282,745.9726157703767,-303.81352580227707,-0.8617388294613377
1684870111.590738,746.0312912173924,-303.88188624490124,-0.8614892338550106
1684870111.615583,746.0885573831256,-303.9485736327237,-0.861258375184776
1684870111.640562,746.1461480731855,-304.015608315874,-0.8610326639058606
1684870111.665835,746.2045129533568,-304.0835145435442,-0.8608172381646649
1684870111.690214,746.2609855692289,-304.14919279324647,-0.8606187929828183
